Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,feeling,place,,,,von
48,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 협재 해수욕장,0.0000523,0.000139,0.998,0
49,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 월정리 해변,0.00028,0.000482,0.992,0
50,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 함덕 해수욕장,0.00361,0.0464,0.949,0
51,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 산굼부리,0.0000162,0.0000391,0.99,0
52,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 섭지코지,0.000108,0.00019,0.997,0
53,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 한라산국립공원,0.00351,0.0147,0.9817,1
54,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 비자림,0.0000267,0.000127,0.998,1
55,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 천지연폭포,0.000031,0.0000698,0.999,0
56,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 용머리해안,0.0000028,0.0000033,0.999,0
57,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 용두암,0.000128,0.000189,0.999,0
58,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 마라도,0.000027,0.0000432,0.999,1
59,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 우도,0.000001,0.00000138,0.999,1
60,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 가파도,0.00000534,0.00000745,0.998,0
61,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 제주돌문화공원,0.999,0.0000397,0.00004322,1
62,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 삼성혈,0.998,0.000045,0.0000664,1
63,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 추사관,0.15,0.84,0.00296,1
64,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 제주목관아,0.998,0.000036,0.000078,1
65,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 선운정사,0.989,0.0027,0.0075,1
66,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 김영갑갤러리두모악,0.785,0.153,0.0606,1
67,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 이중섭거리,0.941,0.055,0.00275,1
68,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 관덕정,0.999,0.000025,0.000037,1
69,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 너븐숭이4.3기념관,0.999,0.000048,0.000029,1
70,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 제주민속촌,0.998,0.000048,0.0000757,1
71,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 항파두리항몽유적지,0.999,0.0000314,0.0000489,1
72,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 성읍마을,0.999,0.0000624,0.0000475,1
73,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 제주세계자연유산센터,0.0281,0.931,0.04,1
74,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 제주민속자연사박물관,0.99,0.000437,0.000504,1
75,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 제주4.3평화공원,0.999,0.0000213,0.0000469,1
76,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 아침미소목장,0.00573,0.993,0.00107,0
77,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 제주레일바이크,0.00298,0.996,0.000472,0
78,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 서귀포잠수함,0.00621,0.99,0.00354,0
79,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 아날로그감귤밭,0.000261,0.999,0.0000398,1
80,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 피시픽리솜 요트투어,0.00579,0.21,0.783,0
81,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 제주레포츠랜드,0.000252,0.999,0.000039,0
82,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,angry, 월정리 카약 체험,0.0202,0.373,0.606,0
